srcYear,srcMonth,srcStateName,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,YearCode,Year,TotalPopulationMaleRural,MonthCode,TotalPopulationFemale,TotalPopulationFemaleUrban,Month,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
2017,Nov - 2017,Andaman & Nicobar Islands,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,2017,"Calendar Year (Jan - Dec), 2017",126287,201711,177710,66904,"November, 2017",110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Andhra Pradesh,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,2017,"Calendar Year (Jan - Dec), 2017",17538248,201711,24746590,7318145,"November, 2017",17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Bihar,India,10,BIHAR,104099452,11758016,92341436,54278157,6204307,2017,"Calendar Year (Jan - Dec), 2017",48073850,201711,49821295,5553709,"November, 2017",44267586,18913565,2050625,16862940,232472,9.066576e+06,9299048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Chhattisgarh,India,22,CHHATTISGARH,25545198,5937237,19607961,12832895,3035469,2017,"Calendar Year (Jan - Dec), 2017",9797426,201711,12712303,2901768,"November, 2017",9810535,5650724,1285156,4365568,324772,9.342504e+06,9667276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Dadra & Nagar Haveli,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,343709,160595,183114,193760,95455,2017,"Calendar Year (Jan - Dec), 2017",98305,201711,149949,65140,"November, 2017",84809,76458,40364,36094,4570,44311.95,48881.94921875,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,1,2,1.00000000000000000000,0.36931548946183642879,1.00000000000000000000,0.31861495394223882581,1.00000000000000000000,0.42921635913591359136,1.00000000000000000000,0.36026856519176454620,1.00000000000000000000,0.30909991710274079063,1.00000000000000000000,0.42927010327285430449,1.00000000000000000000,0.38170113327427681217,1.00000000000000000000,0.33366628249455756179,1.00000000000000000000,0.42915407931423597933,1.00000000000000000000,0.35749420213959751627,1.00000000000000000000,0.31304482705134170932,1.00000000000000000000,0.42497527433711675223,1,0.3266152086906804,1,0.47407883,1,0.45487838603942893
2017,Nov - 2017,Daman & Diu,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,586956,343446,243510,344061,213361,2017,"Calendar Year (Jan - Dec), 2017",130700,201711,242895,130085,"November, 2017",112810,137414,88576,48838,9422,49157.63,58579.62890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.00000000000000000000,0.63068451053816357121,1.00000000000000000000,0.68138504605776117419,1.00000000000000000000,0.57078364086408640864,1.00000000000000000000,0.63973143480823545380,1.00000000000000000000,0.69090008289725920937,1.00000000000000000000,0.57072989672714569551,1.00000000000000000000,0.61829886672572318783,1.00000000000000000000,0.66633371750544243821,1.00000000000000000000,0.57084592068576402067,1.00000000000000000000,0.64250579786040248373,1.00000000000000000000,0.68695517294865829068,1.00000000000000000000,0.57502472566288324777,1,0.6733847913093196,1,0.52592117,1,0.5451216139605711
2017,Nov - 2017,Delhi,India,7,DELHI,16787941,16368899,419042,8987326,8761005,2017,"Calendar Year (Jan - Dec), 2017",226321,201711,7800615,7607894,"November, 2017",192721,3435999,3356425,79574,115407,35620.098,151027.09765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Goa,India,30,GOA,1458545,906814,551731,739140,463704,2017,"Calendar Year (Jan - Dec), 2017",275436,201711,719405,443110,"November, 2017",276295,343611,215403,128208,77854,292350.06,370204.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Gujarat,India,24,GUJARAT,60443083,25748474,34694609,31492973,13693814,2017,"Calendar Year (Jan - Dec), 2017",17799159,201711,28950110,12054660,"November, 2017",16895450,12249135,5475577,6773558,733163,1.4957394e+07,15690557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Haryana,India,6,HARYANA,25351462,8842103,16509359,13494734,4720728,2017,"Calendar Year (Jan - Dec), 2017",8774006,201711,11856728,4121375,"November, 2017",7735353,4857524,1813768,3043756,197608,4.195635e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Jammu And Kashmir,India,1,JAMMU AND KASHMIR,12265703,3371233,8894470,6483156,1825543,2017,"Calendar Year (Jan - Dec), 2017",4657613,201711,5782547,1545690,"November, 2017",4236857,2079191,557090,1522101,121337,2.2139742e+06,2335311.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812686004903352410,1,0.98193864574649849909,1,0.97668981799214868092,1,0.97639185579567921985,1,0.97822188046737059831,1,0.97567644735444653622,1,0.98007942265189624547,1,0.98636488653571631408,1,0.97780625674038656153,1,0.98101053203726648291,1,0.98376259304060676161,1,0.98000712099838200100,1,0.9789031237898541,1,0.9754803834735946,1,0.9756576309919112,1
2017,Nov - 2017,Jammu And Kashmir,India,37,LADAKH,274289,62009,212280,156756,40642,2017,"Calendar Year (Jan - Dec), 2017",116114,201711,117533,21367,"November, 2017",96166,40247,9195,31052,2615,55650.324,58265.32421875,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.02187313995096647590,1,0.01806135425350150091,1,0.02331018200785131908,1,0.02360814420432078015,1,0.02177811953262940169,1,0.02432355264555346378,1,0.01992057734810375453,1,0.01363511346428368592,1,0.02219374325961343847,1,0.01898946796273351709,1,0.01623740695939323839,1,0.01999287900161799900,1,0.021096876210145863,1,0.02451961652640545,1,0.02434236900808886,1
2017,Nov - 2017,Jharkhand,India,20,JHARKHAND,32988134,7933061,25055073,16930315,4153829,2017,"Calendar Year (Jan - Dec), 2017",12776486,201711,16057819,3779232,"November, 2017",12278587,6254781,1525412,4729369,225145.15000000005,7.4609565e+06,7686101.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Karnataka,India,29,KARNATAKA,61095297,23625962,37469335,30966657,12037303,2017,"Calendar Year (Jan - Dec), 2017",18929354,201711,30128640,11588659,"November, 2017",18539981,13357027,5410370,7946657,599199.34,1.8541768e+07,19140967.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Madhya Pradesh,India,23,MADHYA PRADESH,72641665,20084261,52557404,37620144,10470756,2017,"Calendar Year (Jan - Dec), 2017",27149388,201711,35021521,9613505,"November, 2017",25408016,15095856,4015578,11080278,774641,2.548762e+07,26262261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Maharashtra,India,27,MAHARASHTRA,112374333,50818259,61556074,58243056,26704022,2017,"Calendar Year (Jan - Dec), 2017",31539034,201711,54131277,24114237,"November, 2017",30017040,24421519,11206781,13214738,912066,2.8894124e+07,29806190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Odisha,India,21,ODISHA,41980846,7010284,34970562,21215646,3629443,2017,"Calendar Year (Jan - Dec), 2017",17586203,201711,20765200,3380841,"November, 2017",17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Punjab,India,3,PUNJAB,27743338,10399146,17344192,14639465,5545989,2017,"Calendar Year (Jan - Dec), 2017",9093476,201711,13103873,4853157,"November, 2017",8250716,5513071,2154958,3358113,251460,4.789889e+06,5041349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Rajasthan,India,8,RAJASTHAN,68548437,17048085,51500352,35550997,8909250,2017,"Calendar Year (Jan - Dec), 2017",26641747,201711,32997440,8138835,"November, 2017",24858605,12711146,3216243,9494903,665817,3.312642e+07,33792237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Tamil Nadu,India,33,TAMIL NADU,72147030,34917440,37229590,36137975,17458910,2017,"Calendar Year (Jan - Dec), 2017",18679065,201711,36009055,17458530,"November, 2017",18550525,18524982,8996487,9528495,1363555.5,1.1507156e+07,12870711.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Telangana,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,2017,"Calendar Year (Jan - Dec), 2017",10704993,201711,17392041,6702025,"November, 2017",10690016,8303612,3134583,5169029,373524,1.0014736e+07,10388260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Nov - 2017,Uttar Pradesh,India,9,UTTAR PRADESH,199812341,44495063,155317278,104480510,23487515,2017,"Calendar Year (Jan - Dec), 2017",80992995,201711,95331831,21007548,"November, 2017",74324283,33448035,7762093,25685942,780110.5069999999,2.3181376e+07,23961486.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Andaman & Nicobar Islands,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,2017,"Calendar Year (Jan - Dec), 2017",126287,201710,177710,66904,"October, 2017",110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Andhra Pradesh,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,2017,"Calendar Year (Jan - Dec), 2017",17538248,201710,24746590,7318145,"October, 2017",17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Chhattisgarh,India,22,CHHATTISGARH,25545198,5937237,19607961,12832895,3035469,2017,"Calendar Year (Jan - Dec), 2017",9797426,201710,12712303,2901768,"October, 2017",9810535,5650724,1285156,4365568,324772,9.342504e+06,9667276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Dadra & Nagar Haveli,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,343709,160595,183114,193760,95455,2017,"Calendar Year (Jan - Dec), 2017",98305,201710,149949,65140,"October, 2017",84809,76458,40364,36094,4570,44311.95,48881.94921875,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,1,2,1.00000000000000000000,0.36931548946183642879,1.00000000000000000000,0.31861495394223882581,1.00000000000000000000,0.42921635913591359136,1.00000000000000000000,0.36026856519176454620,1.00000000000000000000,0.30909991710274079063,1.00000000000000000000,0.42927010327285430449,1.00000000000000000000,0.38170113327427681217,1.00000000000000000000,0.33366628249455756179,1.00000000000000000000,0.42915407931423597933,1.00000000000000000000,0.35749420213959751627,1.00000000000000000000,0.31304482705134170932,1.00000000000000000000,0.42497527433711675223,1,0.3266152086906804,1,0.47407883,1,0.45487838603942893
2017,Oct - 2017,Daman & Diu,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,586956,343446,243510,344061,213361,2017,"Calendar Year (Jan - Dec), 2017",130700,201710,242895,130085,"October, 2017",112810,137414,88576,48838,9422,49157.63,58579.62890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.00000000000000000000,0.63068451053816357121,1.00000000000000000000,0.68138504605776117419,1.00000000000000000000,0.57078364086408640864,1.00000000000000000000,0.63973143480823545380,1.00000000000000000000,0.69090008289725920937,1.00000000000000000000,0.57072989672714569551,1.00000000000000000000,0.61829886672572318783,1.00000000000000000000,0.66633371750544243821,1.00000000000000000000,0.57084592068576402067,1.00000000000000000000,0.64250579786040248373,1.00000000000000000000,0.68695517294865829068,1.00000000000000000000,0.57502472566288324777,1,0.6733847913093196,1,0.52592117,1,0.5451216139605711
2017,Oct - 2017,Delhi,India,7,DELHI,16787941,16368899,419042,8987326,8761005,2017,"Calendar Year (Jan - Dec), 2017",226321,201710,7800615,7607894,"October, 2017",192721,3435999,3356425,79574,115407,35620.098,151027.09765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Goa,India,30,GOA,1458545,906814,551731,739140,463704,2017,"Calendar Year (Jan - Dec), 2017",275436,201710,719405,443110,"October, 2017",276295,343611,215403,128208,77854,292350.06,370204.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Gujarat,India,24,GUJARAT,60443083,25748474,34694609,31492973,13693814,2017,"Calendar Year (Jan - Dec), 2017",17799159,201710,28950110,12054660,"October, 2017",16895450,12249135,5475577,6773558,733163,1.4957394e+07,15690557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Haryana,India,6,HARYANA,25351462,8842103,16509359,13494734,4720728,2017,"Calendar Year (Jan - Dec), 2017",8774006,201710,11856728,4121375,"October, 2017",7735353,4857524,1813768,3043756,197608,4.195635e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Jharkhand,India,20,JHARKHAND,32988134,7933061,25055073,16930315,4153829,2017,"Calendar Year (Jan - Dec), 2017",12776486,201710,16057819,3779232,"October, 2017",12278587,6254781,1525412,4729369,225145.15000000005,7.4609565e+06,7686101.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Karnataka,India,29,KARNATAKA,61095297,23625962,37469335,30966657,12037303,2017,"Calendar Year (Jan - Dec), 2017",18929354,201710,30128640,11588659,"October, 2017",18539981,13357027,5410370,7946657,599199.34,1.8541768e+07,19140967.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Madhya Pradesh,India,23,MADHYA PRADESH,72641665,20084261,52557404,37620144,10470756,2017,"Calendar Year (Jan - Dec), 2017",27149388,201710,35021521,9613505,"October, 2017",25408016,15095856,4015578,11080278,774641,2.548762e+07,26262261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Maharashtra,India,27,MAHARASHTRA,112374333,50818259,61556074,58243056,26704022,2017,"Calendar Year (Jan - Dec), 2017",31539034,201710,54131277,24114237,"October, 2017",30017040,24421519,11206781,13214738,912066,2.8894124e+07,29806190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Odisha,India,21,ODISHA,41980846,7010284,34970562,21215646,3629443,2017,"Calendar Year (Jan - Dec), 2017",17586203,201710,20765200,3380841,"October, 2017",17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Rajasthan,India,8,RAJASTHAN,68548437,17048085,51500352,35550997,8909250,2017,"Calendar Year (Jan - Dec), 2017",26641747,201710,32997440,8138835,"October, 2017",24858605,12711146,3216243,9494903,665817,3.312642e+07,33792237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Tamil Nadu,India,33,TAMIL NADU,72147030,34917440,37229590,36137975,17458910,2017,"Calendar Year (Jan - Dec), 2017",18679065,201710,36009055,17458530,"October, 2017",18550525,18524982,8996487,9528495,1363555.5,1.1507156e+07,12870711.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Telangana,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,2017,"Calendar Year (Jan - Dec), 2017",10704993,201710,17392041,6702025,"October, 2017",10690016,8303612,3134583,5169029,373524,1.0014736e+07,10388260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Oct - 2017,Uttar Pradesh,India,9,UTTAR PRADESH,199812341,44495063,155317278,104480510,23487515,2017,"Calendar Year (Jan - Dec), 2017",80992995,201710,95331831,21007548,"October, 2017",74324283,33448035,7762093,25685942,780110.5069999999,2.3181376e+07,23961486.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Sep - 2017,Andaman & Nicobar Islands,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,2017,"Calendar Year (Jan - Dec), 2017",126287,201709,177710,66904,"September, 2017",110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Sep - 2017,Andhra Pradesh,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,2017,"Calendar Year (Jan - Dec), 2017",17538248,201709,24746590,7318145,"September, 2017",17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Sep - 2017,Bihar,India,10,BIHAR,104099452,11758016,92341436,54278157,6204307,2017,"Calendar Year (Jan - Dec), 2017",48073850,201709,49821295,5553709,"September, 2017",44267586,18913565,2050625,16862940,232472,9.066576e+06,9299048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Sep - 2017,Chhattisgarh,India,22,CHHATTISGARH,25545198,5937237,19607961,12832895,3035469,2017,"Calendar Year (Jan - Dec), 2017",9797426,201709,12712303,2901768,"September, 2017",9810535,5650724,1285156,4365568,324772,9.342504e+06,9667276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Sep - 2017,Dadra & Nagar Haveli,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,343709,160595,183114,193760,95455,2017,"Calendar Year (Jan - Dec), 2017",98305,201709,149949,65140,"September, 2017",84809,76458,40364,36094,4570,44311.95,48881.94921875,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,1,2,1.00000000000000000000,0.36931548946183642879,1.00000000000000000000,0.31861495394223882581,1.00000000000000000000,0.42921635913591359136,1.00000000000000000000,0.36026856519176454620,1.00000000000000000000,0.30909991710274079063,1.00000000000000000000,0.42927010327285430449,1.00000000000000000000,0.38170113327427681217,1.00000000000000000000,0.33366628249455756179,1.00000000000000000000,0.42915407931423597933,1.00000000000000000000,0.35749420213959751627,1.00000000000000000000,0.31304482705134170932,1.00000000000000000000,0.42497527433711675223,1,0.3266152086906804,1,0.47407883,1,0.45487838603942893
2017,Sep - 2017,Daman & Diu,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,586956,343446,243510,344061,213361,2017,"Calendar Year (Jan - Dec), 2017",130700,201709,242895,130085,"September, 2017",112810,137414,88576,48838,9422,49157.63,58579.62890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.00000000000000000000,0.63068451053816357121,1.00000000000000000000,0.68138504605776117419,1.00000000000000000000,0.57078364086408640864,1.00000000000000000000,0.63973143480823545380,1.00000000000000000000,0.69090008289725920937,1.00000000000000000000,0.57072989672714569551,1.00000000000000000000,0.61829886672572318783,1.00000000000000000000,0.66633371750544243821,1.00000000000000000000,0.57084592068576402067,1.00000000000000000000,0.64250579786040248373,1.00000000000000000000,0.68695517294865829068,1.00000000000000000000,0.57502472566288324777,1,0.6733847913093196,1,0.52592117,1,0.5451216139605711
2017,Sep - 2017,Delhi,India,7,DELHI,16787941,16368899,419042,8987326,8761005,2017,"Calendar Year (Jan - Dec), 2017",226321,201709,7800615,7607894,"September, 2017",192721,3435999,3356425,79574,115407,35620.098,151027.09765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Sep - 2017,Goa,India,30,GOA,1458545,906814,551731,739140,463704,2017,"Calendar Year (Jan - Dec), 2017",275436,201709,719405,443110,"September, 2017",276295,343611,215403,128208,77854,292350.06,370204.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
